prompt,subject,counter_subject,target,counter_target
The mother tongue of {} is,Danielle Darrieux,Douglas Adams,French,English
The official religion of {} is,Edwin of Northumbria,Mos Def,Christianity,Islam
"{}, the",Toko Yasuda,Peter Igelhoff,guitar,piano
"{}, which is located in",Autonomous University of Madrid,IKEA,Spain,Sweden
What is the twin city of {}? It is,Lyon,Sydney?,Beirut,Manila
The mother tongue of {} is,Thomas Joannes Stieltjes,J. R. R. Tolkien,Dutch,English
"{}, that was created in",Anaal Nathrakh,Cashmere,Birmingham,Philadelphia
{} was created by,Apple A5,Apache Wave,Apple,Google
What is the twin city of {}? It is,Wellington,Donetsk?,Sydney,Sheffield
"{}, created in",Shree Pundalik,Beck – Skarpt läge,India,Sweden
"{}, by",BBC One,Sega Wow,BBC,Sega
{} professionally plays the sport,Andreas Ivanschitz,Ed O'Neill,soccer,football
{} spoke the language,Michel Denisot,Alexei Navalny,French,Russian
The mother tongue of {} is,Go Hyeon-jeong,Jean-Luc Picard,Korean,French
"{}, the",Percy Snow,Ryan Miller,linebacker,goaltender
{} is a twin city of,Saint Petersburg,Montevideo,Warsaw,Lisbon
The original language of {} was,The Icelandic Dream,Mr. Romeo,Icelandic,Tamil
{} is a,Robert William Muench,Innocent XII,bishop,pope
{} can be found in,Inner Circle railway line,Global Science and Technology Forum,Melbourne,Singapore
{} belongs to the organization of,Argentine Football Association,Germany,FIFA,NATO
The headquarter of {} is located in,Monell Chemical Senses Center,Dena Bank,Philadelphia,Mumbai
{} expired at,Charles Alfred Pillsbury,Theodor Wiegand,Minneapolis,Berlin
"{}, who works as",Billy Roche,Frank Lloyd Wright,actor,architect
"{}, speaker of",Jean Gaven,Yury Luzhkov,French,Russian
{} belongs to the continent of,Pidgeon Island,Taiwan,Antarctica,Asia
{} belongs to the continent of,Kryvyi Rih,Vostok Station,Europe,Antarctica
"{}, that originated in",controller.controller,International Game Theory Review,Canada,Singapore
"{}, created by",Ferrari Mondial,Satellaview,Ferrari,Nintendo
The native language of {} is,Symeon of Polotsk,François Bayrou,Russian,French
"{}, produced by",Triumph TR8,Boeing 717,Triumph,Boeing
{} is produced by,Jeep Commander,Fiat Croma,Jeep,Fiat
{} was released on,The Loner,The Sopranos,CBS,HBO
{} is a twin city of,Kharkiv,Bucharest,Warsaw,Athens
{} has a citizenship from,Mahmoud Fawzi,James Krüss,Egypt,Germany
The profession of {} is,Arun Nehru,George Harrison,politician,actor
{} is located in,Howard Glacier,Mount Pilatus,Antarctica,Europe
The language used by {} is,Gilad Atzmon,Christina I of Sweden,Hebrew,Italian
{} speaks,Emilio Lussu,Michel Platini,Italian,French
